2009 FF	1.47	0.47	1
2012 TP139	1.47	0.46	2.3
2001 PT9	1.47	0.45	7.2
-423709	1.47	0.4	13
2016 CU193	1.47	0.36	49.8
2008 YS27	1.47	0.32	4.9
2016 BD15	1.47	0.31	35.5
(37655) Illapa	1.48	0.75	18
1998 YM4	1.48	0.72	3.4
-228368	1.48	0.7	14.7
2010 TX168	1.48	0.52	26
-405762	1.48	0.45	5.8
-154330	1.48	0.41	7.2
-445974	1.48	0.36	3.7
2011 TC4	1.49	0.72	3.1
2008 ER7	1.49	0.62	2.2
-136849	1.49	0.58	7.8
-444584	1.49	0.54	4.7
-418094	1.49	0.44	38.3
-434677	1.49	0.37	68.4
2000 YF29	1.49	0.37	6.3
(4660) Nereus	1.49	0.36	1.4
2014 KP84	1.49	0.35	22.4
1994 CJ1	1.49	0.33	2.3
2009 KK	1.5	0.46	18.2
-434734	1.5	0.44	24.6
-53550	1.5	0.42	7.2
-357439	1.5	0.4	23.8
2010 TS149	1.5	0.39	3.4
-382745	1.5	0.33	2.3
-141527	1.51	0.63	9.2
2002 MR3	1.51	0.62	9.8
2013 QC11	1.51	0.62	2.1
-144898	1.51	0.59	4.2
2006 CU	1.51	0.45	3.8
-8566	1.51	0.43	38
-68346	1.51	0.42	16.7
2012 XF133	1.51	0.41	8
2009 VA26	1.51	0.38	38.9
2008 WZ94	1.52	0.77	6.5
2002 LX64	1.52	0.65	6
2007 FF1	1.52	0.48	8.3
2009 BE81	1.52	0.35	18.8
2010 XP69	1.52	0.34	14.6
2012 YY6	1.53	0.68	4
-216115	1.53	0.59	2.1
-141053	1.53	0.58	2.7
2009 AC16	1.53	0.54	18.4
2014 KZ45	1.53	0.41	13.8
2010 FQ	1.53	0.36	10.6
2008 TD2	1.53	0.33	4
-387505	1.54	0.87	2.3
-381906	1.54	0.65	7.3
-342866	1.54	0.6	3.4
1996 AW1	1.54	0.52	4.8
-360191	1.54	0.48	2.5
1999 FR19	1.54	0.48	20.8
-359170	1.54	0.47	11.9
2015 HV182	1.54	0.43	0.8
-448721	1.54	0.41	3.9
2010 EC46	1.54	0.4	49.3
2015 DV215	1.54	0.4	13.2
-12538	1.54	0.41	24.5
-330233	1.54	0.37	37.1
2013 ED28	1.55	0.67	4.9
2005 GU	1.55	0.61	25
2009 LQ	1.55	0.6	5.4
1998 HH49	1.55	0.5	8.4
-389694	1.55	0.49	19.1
-5189	1.55	0.48	3.6
2008 AX1	1.55	0.48	12.9
-26663	1.55	0.47	13.5
2014 YS34	1.55	0.39	6.9
2011 EO51	1.56	0.79	6.8
2015 UM67	1.56	0.69	6
-369057	1.56	0.61	4.3
2013 KZ1	1.56	0.51	29.2
2007 BD7	1.56	0.5	4.8
-20425	1.56	0.48	7
2016 CL32	1.56	0.47	12.3
2015 KJ57	1.56	0.4	2.6
2013 GH84	1.56	0.37	14.9
2015 UK52	1.56	0.37	21
2015 TM237	1.57	0.54	13.8
-395207	1.57	0.49	27.9
-155338	1.57	0.48	2.1
2005 OE3	1.57	0.43	25.4
-294739	1.57	0.41	36
-136618	1.57	0.39	1.4
-333578	1.57	0.38	11.7
-163683	1.58	0.69	20.6
2010 UT7	1.58	0.66	25.4
2007 YV56	1.58	0.62	6.2
-85640	1.58	0.49	4.5
-232691	1.58	0.47	9.1
1999 TO13	1.58	0.44	20.3
2015 BY310	1.58	0.4	4.9
2013 QK48	1.59	0.83	19
-363599	1.59	0.72	3.1
-41429	1.59	0.56	2.2
2011 GQ61	1.59	0.41	65.2
2015 XP129	1.59	0.39	20
-388945	1.59	0.39	8.8
2004 FW1	1.6	0.71	10.1
2015 WA2	1.6	0.63	14.6
2015 XK351	1.6	0.58	11.8
(2135) Aristaeus	1.6	0.5	23.1
-411165	1.6	0.5	20.1
2013 LG16	1.6	0.41	11.2
-417612	1.6	0.39	8.1
2008 UU1	1.61	0.75	12.1
2010 DO	1.61	0.75	11.9
1997 VG6	1.61	0.56	18.5
2014 EG45	1.61	0.5	25.5
-163697	1.61	0.47	3
2005 TR50	1.61	0.46	34.1
2013 NJ10	1.61	0.46	7
2014 GY48	1.61	0.42	39.6
2012 TS78	1.61	0.38	32.7
-4953	1.62	0.66	24.4
2015 TD323	1.62	0.63	48.9
-101869	1.62	0.61	4.8
-141614	1.62	0.54	7.2
-68372	1.62	0.42	8.1
-436724	1.62	0.38	4.6
2006 UQ17	1.62	0.38	1.7
2016 AC65	1.63	0.73	10.6
2008 SE85	1.63	0.53	29.6
2003 BR47	1.63	0.5	4.4
2013 BK18	1.63	0.49	28.9
2013 WT45	1.63	0.47	9.3
2008 YF	1.63	0.44	22
2011 OV18	1.63	0.44	16.9
2014 HN197	1.63	0.43	4.6
2004 RY109	1.63	0.43	26.1
2010 ON101	1.63	0.41	9.3
-311066	1.63	0.4	19.5
-89958	1.64	0.89	10
2006 DU62	1.64	0.74	16.5
2003 TR9	1.64	0.7	13.5
2011 YV62	1.64	0.6	7.8
-301844	1.64	0.53	0.9
(5011) Ptah	1.64	0.5	7.4
2009 HV2	1.64	0.5	6.7
2012 KU12	1.64	0.49	8.6
2012 GV17	1.64	0.46	11
-136617	1.64	0.42	4.7
(65803) Didymos	1.64	0.38	3.4
-434188	1.65	0.76	23.4
-199145	1.65	0.73	3.8
2007 UR51	1.65	0.69	7.3
2015 FN118	1.65	0.54	27.7
2011 EO40	1.65	0.54	3.4
2014 XL7	1.65	0.53	7.5
2002 CY9	1.65	0.51	42
-373135	1.65	0.5	4.4
2008 UE7	1.65	0.45	4
-357024	1.65	0.4	3.7
(69230) Hermes	1.66	0.62	6.1
2005 SQ	1.66	0.57	1.2
2012 TY52	1.66	0.55	9.6
-164400	1.66	0.47	6.6
2013 MY5	1.66	0.45	3
2011 OR15	1.66	0.44	5
2008 WK61	1.66	0.42	17.2
2013 NF19	1.67	0.7	27.3
-251722	1.67	0.66	3.2
2004 RY10	1.67	0.62	15.5
-279744	1.67	0.61	4.7
-216258	1.67	0.49	2.6
-164211	1.67	0.42	2.3
-442523	1.67	0.42	6.7
-363734	1.68	0.78	3.3
1999 RM45	1.68	0.64	10.9
2001 SY269	1.68	0.6	1.9
-199801	1.68	0.57	2.3
-162000	1.68	0.46	1.1
-440212	1.68	0.43	3.4
2007 LF	1.68	0.42	7
2015 NJ3	1.69	0.67	12.3
2007 VZ137	1.69	0.58	5.2
2013 ER89	1.69	0.54	27
-386847	1.69	0.46	5.8
-452302	1.7	0.83	3.6
-231937	1.7	0.83	38.9
-154276	1.7	0.69	8.7
2000 BO28	1.7	0.6	6.3
2009 TK12	1.7	0.58	3.8
2002 AC9	1.7	0.56	2.3
2013 UX	1.7	0.56	5.4
2005 YS8	1.7	0.53	17.4
2010 VG1	1.7	0.53	12.4
2008 KE6	1.7	0.52	3.4
2010 TV149	1.7	0.52	9.8
2013 BO76	1.7	0.52	1.9
